frame,zone,people,area_m2,capacity,density,capacity_usage,density_level,capacity_status
0,Zone 1,12,100,50,0.12,24.0,LOW,OK
30,Zone 1,14,100,50,0.14,28.0,LOW,OK
60,Zone 1,20,100,50,0.2,40.0,LOW,OK
90,Zone 1,19,100,50,0.19,38.0,LOW,OK
120,Zone 1,20,100,50,0.2,40.0,LOW,OK
150,Zone 1,24,100,50,0.24,48.0,LOW,OK
180,Zone 1,20,100,50,0.2,40.0,LOW,OK
210,Zone 1,22,100,50,0.22,44.0,LOW,OK
240,Zone 1,24,100,50,0.24,48.0,LOW,OK
270,Zone 1,20,100,50,0.2,40.0,LOW,OK
300,Zone 1,26,100,50,0.26,52.0,MEDIUM,OK
330,Zone 1,26,100,50,0.26,52.0,MEDIUM,OK
360,Zone 1,28,100,50,0.28,56.0,MEDIUM,OK
390,Zone 1,31,100,50,0.31,62.0,MEDIUM,OK
420,Zone 1,38,100,50,0.38,76.0,MEDIUM,FILLING
450,Zone 1,40,100,50,0.4,80.0,MEDIUM,FILLING
480,Zone 1,39,100,50,0.39,78.0,MEDIUM,FILLING
510,Zone 1,41,100,50,0.41,82.0,MEDIUM,FILLING
540,Zone 1,40,100,50,0.4,80.0,MEDIUM,FILLING
570,Zone 1,44,100,50,0.44,88.0,MEDIUM,FILLING
0,Zone 2,10,60,30,0.1667,33.3,LOW,OK
30,Zone 2,8,60,30,0.1333,26.7,LOW,OK
60,Zone 2,13,60,30,0.2167,43.3,LOW,OK
90,Zone 2,9,60,30,0.15,30.0,LOW,OK
120,Zone 2,10,60,30,0.1667,33.3,LOW,OK
150,Zone 2,13,60,30,0.2167,43.3,LOW,OK
180,Zone 2,9,60,30,0.15,30.0,LOW,OK
210,Zone 2,13,60,30,0.2167,43.3,LOW,OK
240,Zone 2,14,60,30,0.2333,46.7,LOW,OK
270,Zone 2,15,60,30,0.25,50.0,MEDIUM,OK
300,Zone 2,14,60,30,0.2333,46.7,LOW,OK
330,Zone 2,17,60,30,0.2833,56.7,MEDIUM,OK
360,Zone 2,18,60,30,0.3,60.0,MEDIUM,OK
390,Zone 2,24,60,30,0.4,80.0,MEDIUM,FILLING
420,Zone 2,22,60,30,0.3667,73.3,MEDIUM,FILLING
450,Zone 2,23,60,30,0.3833,76.7,MEDIUM,FILLING
480,Zone 2,24,60,30,0.4,80.0,MEDIUM,FILLING
510,Zone 2,22,60,30,0.3667,73.3,MEDIUM,FILLING
540,Zone 2,25,60,30,0.4167,83.3,MEDIUM,FILLING
570,Zone 2,21,60,30,0.35,70.0,MEDIUM,FILLING
