frame,track_id,x,y,zone
0,1000,57.09,56.03,Zone 1
0,1001,68.2,10.31,Zone 1
0,1002,57.12,18.79,Zone 1
0,1003,9.74,71.21,Zone 1
0,1004,56.44,61.9,Zone 1
0,1005,49.64,53.17,Zone 1
0,1006,77.72,46.56,Zone 1
0,1007,92.34,36.16,Zone 1
0,1008,24.84,17.98,Zone 1
0,1009,77.98,8.19,Zone 1
0,1010,30.02,49.51,Zone 1
0,1011,34.35,44.88,Zone 1
30,1000,60.9,7.32,Zone 1
30,1001,51.19,16.5,Zone 1
30,1002,34.21,93.33,Zone 1
30,1003,42.17,96.2,Zone 1
30,1004,7.76,55.81,Zone 1
30,1005,78.91,81.84,Zone 1
30,1006,34.01,35.02,Zone 1
30,1007,49.67,79.69,Zone 1
30,1008,6.88,9.36,Zone 1
30,1009,26.99,69.7,Zone 1
30,1010,6.5,73.12,Zone 1
30,1011,30.96,57.79,Zone 1
30,1012,68.12,44.56,Zone 1
30,1013,71.66,88.7,Zone 1
60,1000,34.7,94.06,Zone 1
60,1001,35.55,61.09,Zone 1
60,1002,49.37,21.82,Zone 1
60,1003,28.74,73.84,Zone 1
60,1004,39.79,91.68,Zone 1
60,1005,49.65,16.64,Zone 1
60,1006,40.16,27.78,Zone 1
60,1007,13.69,43.05,Zone 1
60,1008,55.02,70.64,Zone 1
60,1009,98.65,68.27,Zone 1
60,1010,38.04,23.08,Zone 1
60,1011,8.3,15.13,Zone 1
60,1012,65.85,1.21,Zone 1
60,1013,83.11,18.23,Zone 1
60,1014,28.19,14.57,Zone 1
60,1015,53.46,60.98,Zone 1
60,1016,31.86,12.55,Zone 1
60,1017,85.92,95.02,Zone 1
60,1018,65.5,73.98,Zone 1
60,1019,45.66,87.1,Zone 1
90,1000,95.19,68.06,Zone 1
90,1001,55.93,39.81,Zone 1
90,1002,39.41,48.15,Zone 1
90,1003,40.04,19.06,Zone 1
90,1004,98.47,44.06,Zone 1
90,1005,10.99,60.07,Zone 1
90,1006,10.24,56.68,Zone 1
90,1007,53.66,94.89,Zone 1
90,1008,61.37,7.03,Zone 1
90,1009,20.8,37.62,Zone 1
90,1010,63.44,95.55,Zone 1
90,1011,60.23,47.42,Zone 1
90,1012,11.54,48.81,Zone 1
90,1013,97.78,48.04,Zone 1
90,1014,31.19,14.41,Zone 1
90,1015,74.97,74.04,Zone 1
90,1016,47.86,69.21,Zone 1
90,1017,51.63,20.52,Zone 1
90,1018,95.2,36.18,Zone 1
120,1000,69.01,91.41,Zone 1
120,1001,75.81,29.81,Zone 1
120,1002,64.29,9.1,Zone 1
120,1003,84.54,51.84,Zone 1
120,1004,90.83,35.57,Zone 1
120,1005,22.28,54.16,Zone 1
120,1006,50.27,63.64,Zone 1
120,1007,61.32,78.84,Zone 1
120,1008,75.83,19.51,Zone 1
120,1009,23.94,40.07,Zone 1
120,1010,80.33,19.99,Zone 1
120,1011,49.28,73.1,Zone 1
120,1012,98.96,79.01,Zone 1
120,1013,47.22,19.36,Zone 1
120,1014,60.51,34.43,Zone 1
120,1015,80.86,72.31,Zone 1
120,1016,34.95,97.45,Zone 1
120,1017,8.05,10.22,Zone 1
120,1018,47.01,33.77,Zone 1
120,1019,48.27,98.52,Zone 1
150,1000,61.03,0.19,Zone 1
150,1001,90.92,34.4,Zone 1
150,1002,64.31,83.46,Zone 1
150,1003,11.99,38.85,Zone 1
150,1004,71.15,19.93,Zone 1
150,1005,88.9,43.39,Zone 1
150,1006,63.58,8.67,Zone 1
150,1007,94.62,72.18,Zone 1
150,1008,46.32,74.34,Zone 1
150,1009,8.49,15.89,Zone 1
150,1010,99.31,2.75,Zone 1
150,1011,59.08,46.54,Zone 1
150,1012,65.59,61.16,Zone 1
150,1013,59.59,47.44,Zone 1
150,1014,93.75,15.59,Zone 1
150,1015,54.83,2.14,Zone 1
150,1016,79.94,72.64,Zone 1
150,1017,10.28,74.95,Zone 1
150,1018,13.93,98.65,Zone 1
150,1019,19.48,87.39,Zone 1
150,1020,2.8,21.28,Zone 1
150,1021,50.12,76.37,Zone 1
150,1022,32.6,54.44,Zone 1
150,1023,83.42,6.09,Zone 1
180,1000,73.99,89.77,Zone 1
180,1001,66.25,81.5,Zone 1
180,1002,51.68,82.71,Zone 1
180,1003,87.82,13.08,Zone 1
180,1004,15.18,51.05,Zone 1
180,1005,87.28,77.65,Zone 1
180,1006,60.86,77.6,Zone 1
180,1007,14.98,14.16,Zone 1
180,1008,61.91,12.03,Zone 1
180,1009,6.18,68.23,Zone 1
180,1010,53.07,48.25,Zone 1
180,1011,77.65,88.32,Zone 1
180,1012,5.68,19.13,Zone 1
180,1013,4.22,9.77,Zone 1
180,1014,45.22,2.79,Zone 1
180,1015,89.4,6.34,Zone 1
180,1016,32.56,97.34,Zone 1
180,1017,60.61,19.94,Zone 1
180,1018,27.72,50.82,Zone 1
180,1019,80.74,50.78,Zone 1
210,1000,24.77,52.32,Zone 1
210,1001,87.6,92.78,Zone 1
210,1002,92.28,89.28,Zone 1
210,1003,20.26,44.75,Zone 1
210,1004,41.66,39.24,Zone 1
210,1005,31.6,67.12,Zone 1
210,1006,42.83,21.27,Zone 1
210,1007,30.28,12.23,Zone 1
