frame,person_id,center_x,center_y
2,0,241,177
2,1,532,191
2,2,434,182
2,3,589,194
2,4,291,187
2,5,330,181
2,6,397,176
2,7,365,171
2,8,467,175
3,0,241,178
3,1,532,192
3,2,434,182
3,3,588,194
3,4,292,188
3,5,330,181
3,6,397,176
3,7,364,170
3,8,468,175
4,0,240,178
4,1,532,192
4,2,433,182
4,3,585,194
4,4,292,188
4,5,330,182
4,6,396,177
4,7,364,170
4,8,467,175
5,0,240,179
5,1,532,193
5,2,432,182
5,3,582,195
5,4,292,188
5,5,329,182
5,6,395,176
5,7,364,171
5,8,467,176
6,0,240,179
6,1,531,193
6,2,432,181
6,3,581,196
6,4,291,188
6,5,329,182
6,6,395,177
6,7,365,173
6,8,467,176
7,0,241,179
7,1,530,194
7,2,432,181
7,3,579,196
7,4,291,189
7,5,329,182
7,6,395,177
7,7,365,173
7,8,468,176
8,0,241,179
8,1,529,193
8,2,432,181
8,3,579,197
8,4,291,189
8,5,328,183
8,6,395,177
8,7,365,173
8,8,468,176
9,0,241,179
9,1,527,193
9,2,433,181
9,3,578,197
9,4,291,190
9,5,328,183
9,6,395,177
9,7,365,174
9,8,468,176
9,9,20,190
10,0,242,179
10,1,525,192
10,2,433,181
10,3,576,197
10,4,291,190
10,5,329,183
10,6,395,177
10,7,365,173
10,8,468,177
10,9,20,190
11,0,242,179
11,1,523,191
11,2,432,181
11,3,575,197
11,4,291,191
11,5,328,184
11,6,394,177
11,7,365,173
11,8,468,177
11,9,20,190
12,0,243,180
12,1,520,190
12,2,432,182
12,3,573,197
12,4,292,192
12,5,329,184
12,6,394,177
12,7,366,173
12,8,469,177
12,9,21,191
13,0,244,181
13,1,519,190
13,2,431,182
13,3,571,197
13,4,293,192
13,5,329,184
13,6,394,177
13,7,366,173
13,8,469,177
13,9,21,191
14,0,244,182
14,1,518,190
14,2,431,183
14,3,569,196
14,4,293,193
14,5,329,185
14,6,393,177
14,7,366,174
14,8,469,178
14,9,21,192
15,0,245,182
15,1,516,191
15,2,431,184
15,3,567,196
15,4,293,193
15,5,329,185
15,6,393,178
15,7,366,173
15,8,470,178
15,9,21,192
16,0,246,183
16,1,515,191
16,2,431,185
16,3,566,196
16,4,293,194
16,5,330,185
16,6,393,178
16,7,366,173
16,8,470,178
16,9,21,193
17,0,246,184
17,1,514,192
17,2,430,185
17,3,563,195
17,4,293,194
17,5,330,187
17,6,393,179
17,7,366,173
17,8,471,179
17,9,21,193
18,0,247,184
18,1,514,192
18,2,430,185
18,3,562,195
18,4,294,194
18,5,330,186
18,6,393,179
18,7,366,173
18,8,471,179
18,9,21,192
19,0,247,185
19,1,513,193
19,2,430,185
19,3,561,196
19,4,294,194
19,5,332,187
19,6,393,180
19,7,367,174
